2025-05-06 16:39:44,076 [INFO] Orderbook database initialized.
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for VIBUSDT
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for BTCUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for ETHUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for BNBUSDT
2025-05-06 16:39:44,888 [INFO] [VIBUSDT] websocket opened
2025-05-06 16:39:44,891 [INFO] [ETHUSDT] websocket opened
2025-05-06 16:39:44,898 [INFO] [BTCUSDT] websocket opened
2025-05-06 16:39:44,899 [INFO] [BNBUSDT] websocket opened
2025-05-06 16:42:12,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:12,938 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:12,939 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:13,016 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:13,917 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:13,923 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:14,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:14,916 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:14,921 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:15,016 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:15,922 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:15,923 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:16,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:16,918 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:16,924 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:17,022 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:17,918 [INFO] [ETHUSDT] Bid 1797.2400, Ask 1797.2500, Spread 0.0100
2025-05-06 16:42:17,920 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:18,010 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:18,922 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:18,923 [INFO] [ETHUSDT] Bid 1797.2400, Ask 1797.2500, Spread 0.0100
2025-05-06 16:42:19,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:19,918 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:19,920 [INFO] [ETHUSDT] Bid 1797.2400, Ask 1797.2500, Spread 0.0100
2025-05-06 16:42:20,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:20,929 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:20,929 [INFO] [ETHUSDT] Bid 1797.2400, Ask 1797.2500, Spread 0.0100
2025-05-06 16:42:21,008 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:21,918 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:21,922 [INFO] [ETHUSDT] Bid 1797.2400, Ask 1797.2500, Spread 0.0100
2025-05-06 16:42:22,011 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:22,920 [INFO] [ETHUSDT] Bid 1797.5200, Ask 1797.5300, Spread 0.0100
2025-05-06 16:42:22,922 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:23,009 [INFO] [BNBUSDT] Bid 598.4000, Ask 598.4100, Spread 0.0100
2025-05-06 16:42:23,916 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:23,922 [INFO] [ETHUSDT] Bid 1797.6600, Ask 1797.6700, Spread 0.0100
2025-05-06 16:42:24,012 [INFO] [BNBUSDT] Bid 598.4000, Ask 598.4100, Spread 0.0100
2025-05-06 16:42:24,916 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:24,921 [INFO] [ETHUSDT] Bid 1797.7700, Ask 1797.7800, Spread 0.0100
2025-05-06 16:42:25,091 [INFO] [BNBUSDT] Bid 598.4000, Ask 598.4100, Spread 0.0100
2025-05-06 16:42:25,915 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:25,920 [INFO] [ETHUSDT] Bid 1797.8600, Ask 1797.8700, Spread 0.0100
2025-05-06 16:42:26,007 [INFO] [BNBUSDT] Bid 598.4000, Ask 598.4100, Spread 0.0100
2025-05-06 16:42:27,066 [INFO] [ETHUSDT] Bid 1797.9300, Ask 1797.9400, Spread 0.0100
2025-05-06 16:42:27,066 [INFO] [BTCUSDT] Bid 94181.9700, Ask 94181.9800, Spread 0.0100
2025-05-06 16:42:27,067 [INFO] [BNBUSDT] Bid 598.4300, Ask 598.4400, Spread 0.0100
2025-05-06 16:42:27,917 [INFO] [BTCUSDT] Bid 94187.9900, Ask 94188.0000, Spread 0.0100
